DateTime,GpsPos,EventNumber,Data,Team
2019-06-12 12:15:42,-,310,0,Team Tosca
2019-06-12 12:15:42,-,320,101,Team Tosca
2019-06-12 12:15:42,N3353.19E02245.52,450,0,Team Tosca
2019-06-12 12:17:02,-,190,0,Team Tosca
2019-06-12 12:18:12,-,110,0,Team Tosca
2019-06-12 12:18:18,-,120,0,Team Tosca
2019-06-12 12:27:52,N3353.57E02243.39,460,0,Team Tosca
2019-06-12 12:27:57,N3353.57E02243.37,450,0,Team Tosca
2019-06-12 12:29:21,N3353.62E02243.09,470,0,Team Tosca
2019-06-12 12:32:31,N3353.73E02242.44,460,0,Team Tosca
2019-06-12 12:32:36,N3353.73E02242.43,450,0,Team Tosca
2019-06-12 12:32:48,N3353.74E02242.39,470,0,Team Tosca
2019-06-12 12:35:40,N3353.84E02241.80,460,0,Team Tosca
2019-06-12 12:35:45,N3353.84E02241.78,450,0,Team Tosca
2019-06-12 12:36:43,N3353.88E02241.58,470,0,Team Tosca
2019-06-12 12:36:47,-,100,0,Team Tosca
2019-06-12 13:19:13,-,190,0,Team Tosca
2019-06-12 13:48:14,N3356.86E02224.25,350,0,Team Tosca
2019-06-12 13:48:39,N3356.88E02224.14,450,0,Team Tosca
2019-06-12 14:09:57,N3357.90E02218.37,360,0,Team Tosca
2019-06-12 14:10:03,N3357.91E02218.34,350,0,Team Tosca
2019-06-12 14:10:28,N3357.93E02218.23,450,0,Team Tosca
2019-06-12 14:15:18,N3358.16E02216.90,360,0,Team Tosca
2019-06-12 14:15:31,N3358.17E02216.85,350,0,Team Tosca
2019-06-12 14:15:46,N3358.18E02216.78,360,0,Team Tosca
2019-06-13 14:54:50,N3503.20E01600.96,810,0,Team Tosca
2019-06-13 14:54:50,N3503.20E01600.96,812,0,Team Tosca
2019-06-13 14:55:11,-,370,0,Team Tosca
2019-06-13 14:55:14,N3503.22E01600.86,150,0,Team Tosca
2019-06-13 14:55:14,-,300,1,Team Tosca
2019-06-13 15:49:18,N3505.63E01546.82,811,0,Team Tosca
2019-06-13 15:49:19,-,300,2,Team Tosca
